Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Animas Museum,Audio,Contact Institution,February,10,1995,A. Lewis Soens; Robert Soens,Robert McDaniel,,,Interview with the Soens brothers regarding their donation,
Animas Museum,Audio,Contact Institution,February,1,1992,A.C. Robbins,Mary Ellen Long,,,,
Animas Museum,"Audio, Transcript",Online,,,,Adolph (Dolph) Kuss,,"Durango, La Plata County",,,https://www.animasmuseum.org/DolphKuss/
Animas Museum,Audio,Contact Institution,,,,Al Lancaster,,,,,
Animas Museum,Audio,Contact Institution,June,19,1996,Albert Metz Sr.,Robert McDaniel,,,,
Animas Museum,Audio,Contact Institution,October,17,1986,Alva Lyons,Robert McDaniel,,,,
Animas Museum,Audio,Contact Institution,October,23,1986,Amy Thompson; Margaret Bell,Robert McDaniel,,,,
Animas Museum,Audio,Contact Institution,November,17,1986,Art Wyatt,Robert McDaniel,"Durango, La Plata County",Smelter & Mine Processing,Uranium Smelter,
Animas Museum,Audio,Contact Institution,,,1993,Arvid Alexander,,"Durango, La Plata County",,,
Animas Museum,Transcript,Contact Institution,,,,Cecilia Cundiff Smith,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Transcript,Contact Institution,,,,Cesarina Barasa Roberts,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Transcript,Contact Institution,,,,Ed Wommer,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Audio,Contact Institution,October,29,1986,Edith Rhodes,Robert McDaniel,,,,
Animas Museum,Transcript,Contact Institution,,,,Edward L. Mead,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Transcript,Contact Institution,,,,Emma Carlson Shock,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Audio,Contact Institution,February,13,1992,Frank Becay,Mary Ellen Long,,,,
Animas Museum,Audio,Contact Institution,August,29,1994,Frank Shry,Robert McDaniel,"Durango, La Plata County","Natural Disasters, Forestry",Durango Fire Dept. History,
Animas Museum,Audio,Contact Institution,October,6,1990,Fritz Box; Val Evanson; Charlie Lemon,"Cowboy Poetry Gathering, La Plata County Fairgrounds","Durango, La Plata County","Ute, Native American","Orion, son of Fritz Box, also Val Evanson and Charlie Lemon, tape on Ute Oral Traditions",
Animas Museum,Video,Contact Institution,,,,Gene Folsom,,,,,
Animas Museum,Audio,Contact Institution,October,3,1991,Glenn Phillips,Mary Ellen Long,,,,
Animas Museum,Audio,Contact Institution,December,6,1991,Helen Valeria Burkett,Mary Ellen Long,"Durango, La Plata County",Local Business,Helen's Store (Age 80),
Animas Museum,Transcript,Contact Institution,,,,Henry Parks,,La Plata County,Education & Schools,"From Ruth Lambert's ""A Study of Rural Schools in La Plata County Colorado,"" volume 2, ""School Voices / Memories of County Schools."" The study was prepeard for the State Historical Fund, Project Number 2010-02-054.",
Animas Museum,Audio,Contact Institution,November,20,1991,Jim Colvig,Mary Ellen Long,,,,
